Survived,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
0,1,-0.6119166323502879,0.8102200324595066,0.0,-0.8205524467753036,0.0,0.0,1.0,0.0,0.0,1.0
1,0,0.7153043494803103,0.8102200324595066,0.0,2.0316232164746784,1.0,0.0,0.0,1.0,0.0,0.0
1,0,-0.2801113868926384,-0.6025119615158758,0.0,-0.7875775669667633,0.0,0.0,1.0,0.0,0.0,1.0
1,0,0.4664504153870731,0.8102200324595066,0.0,1.4192967965159125,0.0,0.0,1.0,1.0,0.0,0.0
0,1,0.4664504153870731,-0.6025119615158758,0.0,-0.7814711077429595,0.0,0.0,1.0,0.0,0.0,1.0
0,1,0.02673527282213031,-0.6025119615158758,0.0,-0.761524969334327,0.0,1.0,0.0,0.0,0.0,1.0
0,1,2.0425253313109084,-0.6025119615158758,0.0,1.358842850200255,0.0,0.0,1.0,1.0,0.0,0.0
0,1,-2.2294672039563297,2.9293180234225806,0.0,-0.14517805662260871,0.0,0.0,1.0,0.0,0.0,1.0
1,0,-0.19716007552822604,-0.6025119615158758,0.0,-0.6308467419449267,0.0,0.0,1.0,0.0,0.0,1.0
1,0,-1.2755271232655871,0.8102200324595066,0.0,0.2942818304613415,1.0,0.0,0.0,0.0,1.0,0.0
1,0,-2.105040236909711,0.8102200324595066,0.0,-0.35890412945574,0.0,0.0,1.0,0.0,0.0,1.0
1,0,2.084000986993115,-0.6025119615158758,0.0,0.12228485737999564,0.0,0.0,1.0,1.0,0.0,0.0
0,1,-0.7778192550791128,-0.6025119615158758,0.0,-0.7814711077429595,0.0,0.0,1.0,0.0,0.0,1.0
0,1,0.7982556608447227,0.8102200324595066,0.0,0.35310901603977735,0.0,0.0,1.0,0.0,0.0,1.0
0,0,-1.2755271232655871,-0.6025119615158758,0.0,-0.7910362654711258,0.0,0.0,1.0,0.0,0.0,1.0
1,0,2.084000986993115,-0.6025119615158758,0.0,-0.393100301109041,0.0,0.0,1.0,0.0,1.0,0.0
0,1,-2.2294672039563297,2.9293180234225806,0.0,0.24807791739035287,0.0,1.0,0.0,0.0,0.0,1.0
1,1,0.02673527282213031,-0.6025119615158758,0.0,-0.539655322480331,0.0,0.0,1.0,0.0,1.0,0.0
0,0,0.13464516992942355,0.8102200324595066,0.0,-0.29539695352818096,0.0,0.0,1.0,0.0,0.0,1.0
1,0,0.02673527282213031,-0.6025119615158758,0.0,-0.8217737386200644,1.0,0.0,0.0,0.0,0.0,1.0
0,1,0.4664504153870731,-0.6025119615158758,0.0,0.0954164367952591,0.0,0.0,1.0,0.0,1.0,0.0
1,1,0.3834991040226607,-0.6025119615158758,0.0,-0.539655322480331,0.0,0.0,1.0,0.0,1.0,0.0
1,0,-1.1925758119011747,-0.6025119615158758,0.0,-0.7824872225578006,0.0,1.0,0.0,0.0,0.0,1.0
1,1,-0.11420876416381363,-0.6025119615158758,0.0,0.5595073378043441,0.0,0.0,1.0,1.0,0.0,0.0
0,0,-1.7732349914520615,2.9293180234225806,0.0,-0.14517805662260871,0.0,0.0,1.0,0.0,0.0,1.0
